supporterwallet,first_date,last_date,first_from,first_to,last_from,last_to,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,TDD
0x73f432dA307525B6590c858bf458116322D50d16,1616995739,1627382441,0x6c03d2e5340c256838cf8b96e05e23a1a911fe0f,0x73f432da307525b6590c858bf458116322d50d16,0x73f432da307525b6590c858bf458116322d50d16,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,418,766,727,0,100,0,100,0.3875598086124402
0x8F59D415FFd78575d9C674d32aC114a41aFd3D30,1655442455,1661061630,0x8f59d415ffd78575d9c674d32ac114a41afd3d30,0xd945f759d422ae30a6166838317b937de08380e3,0x8f59d415ffd78575d9c674d32ac114a41afd3d30,0xb6728bff344e2109dbb3a0c153cad65ec4bdb736,481,321,319,0,100,0,100,0.2224532224532224
0xb63DF1cCb8f816426AccEaEBB6B18518b296CaD9,1629658843,1680359255,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xb63df1ccb8f816426acceaebb6b18518b296cad9,0xb63df1ccb8f816426acceaebb6b18518b296cad9,0x2bd938cf96430b7b0879f76b010b589aeec2127c,80,620,392,0,100,0,16,4.4875
0xadc1d13ACf57EA12cdF14679177Fd669221ADF2c,1604104915,1634061330,0x4508f5e7d98582cd202f212090cefe542a29f9dd,0xadc1d13acf57ea12cdf14679177fd669221adf2c,0xadc1d13acf57ea12cdf14679177fd669221adf2c,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,290,915,916,0,100,0,100,0.7034482758620689
0x3a4974C33f81bf1bBB7aA6C6Bcf1b0a616C86F30,1636936663,1669075499,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x3a4974c33f81bf1bbb7aa6c6bcf1b0a616c86f30,0x3a4974c33f81bf1bbb7aa6c6bcf1b0a616c86f30,0x495f947276749ce646f68ac8c248420045cb7b5e,230,535,551,0,100,0,84,0.3695652173913043
0xa9f26211fa03dA13F9CFD6485b57BAAFCA9E9B64,1602934213,1615931262,0xdc07a4c746efeb15736a3154c00163b45a53189b,0xa9f26211fa03da13f9cfd6485b57baafca9e9b64,0xa9f26211fa03da13f9cfd6485b57baafca9e9b64,0xb3c85ae0c401d08c41720be94f0a797cfe8c8847,469,929,932,0,100,0,100,0.5074626865671642
0x34742629108AcE4d4a5aDC1764Fd2a08db52Dc50,1640272689,1674735923,0xf66852bc122fd40bfecc63cd48217e88bda12109,0x34742629108ace4d4a5adc1764fd2a08db52dc50,0x34742629108ace4d4a5adc1764fd2a08db52dc50,0xd95a1969c41112cee9a2c931e849bcef36a16f4c,113,497,362,0,100,0,100,1.0265486725663715
0x9110352b2C8a1b2Ebc61b17Ad7F79242F2Ea9aC5,1611136108,1679717603,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x9110352b2c8a1b2ebc61b17ad7f79242f2ea9ac5,0x9110352b2c8a1b2ebc61b17ad7f79242f2ea9ac5,0x1645787ddcb380932130f0d8c22e6bf53a38e725,95,834,834,0,100,0,30,6.157894736842105
0x529f786B6cc026Ce88EE866a0De859283c216E50,1647170532,1680196823,0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,0x529f786b6cc026ce88ee866a0de859283c216e50,0x529f786b6cc026ce88ee866a0de859283c216e50,0xc2cca20b76f5494b1b10774e0d182f10d98b4a51,119,417,386,0,100,0,33,1.0420168067226891
0x05897b2ffD4d245D80C145eC9F4030633E6d4fcd,1670158307,1683107483,0x18995ee70dd38f34a1c160857bc080fd7a5f7fea,0x05897b2ffd4d245d80c145ec9f4030633e6d4fcd,0x05897b2ffd4d245d80c145ec9f4030633e6d4fcd,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,25,151,7,0,37,0,8,5.64
0xbF4E827Cae9c7F7B4B4a80127654b819D514223e,1614603477,1673683199,0x5101ab0cb07bee4a8df6e8ed2d176287ee0e20c7,0xbf4e827cae9c7f7b4b4a80127654b819d514223e,0xbf4e827cae9c7f7b4b4a80127654b819d514223e,0x084b1c3c81545d370f3634392de611caabff8148,140,794,794,0,100,0,87,3.321428571428572
0x190236c3840f258a95fE11E8c45e623dD8174e1e,1624079817,1645536848,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x190236c3840f258a95fe11e8c45e623dd8174e1e,0x190236c3840f258a95fe11e8c45e623dd8174e1e,0x7f268357a8c2552623316e2562d90e642bb538e5,425,684,593,0,100,0,100,0.4376470588235294
0x9CD4Ea50A769718a5481A04364AA7774f5ab7D40,1663300259,1683011387,0x480c9e50eeac75700d1f65b8969cb2fda6ec5daf,0x9cd4ea50a769718a5481a04364aa7774f5ab7d40,0x480c9e50eeac75700d1f65b8969cb2fda6ec5daf,0x9cd4ea50a769718a5481a04364aa7774f5ab7d40,36,230,154,0,47,0,8,5.888888888888889
0x685403A926846D4Fd11Ab93b75d5FFF5a7187190,1625236949,1638775589,0x6254b927ecc25ddd233aaecd5296d746b1c006b4,0x685403a926846d4fd11ab93b75d5fff5a7187190,0x685403a926846d4fd11ab93b75d5fff5a7187190,0x956bef01463ae1240d6a76affd8566f3443bdce2,460,671,579,0,100,0,26,0.2369565217391304
0xd9ffaF2e880dF0cc7B7104e9E789d281a81824cf,1569512107,1578688657,0x9c3e2a605e2c73d6aa875b5858a5472475aa7ec9,0xd9ffaf2e880df0cc7b7104e9e789d281a81824cf,0xd9ffaf2e880df0cc7b7104e9e789d281a81824cf,0x6b175474e89094c44da98b954eedeac495271d0f,381,1316,1316,0,100,0,100,1.178477690288714
0xd1c2c0b70aFb8F3C207642E7c9Ee3c36375A72b1,1631494627,1675676003,0x72bb00d97124d1dd69c4257039d09de9a5f6a540,0xd1c2c0b70afb8f3c207642e7c9ee3c36375a72b1,0xd1c2c0b70afb8f3c207642e7c9ee3c36375a72b1,0x72bb00d97124d1dd69c4257039d09de9a5f6a540,121,598,589,0,100,0,32,1.28099173553719
0x975D07636e8cA4d78F77eF86cdbD5F8Cb3923b8E,1630087966,1645998700,0x3cd751e6b0078be393132286c442345e5dc49699,0x975d07636e8ca4d78f77ef86cdbd5f8cb3923b8e,0x975d07636e8ca4d78f77ef86cdbd5f8cb3923b8e,0xc53dc593b69c67a209cf70d4172078c9125449bb,1148,615,615,0,100,0,100,0.0
0x4360187bA1204bf91e9F697f67283b38f962da3E,1564850312,1682612375,0x00de4b13153673bcae2616b67bf822500d325fc3,0x4360187ba1204bf91e9f697f67283b38f962da3e,0x4360187ba1204bf91e9f697f67283b38f962da3e,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,73,1370,1359,0,74,0,46,17.931506849315067
0xD133Df54C0A5849B6a9E1928095148bf3F068fC8,1652457860,1682748431,0x5828bc56706b63fe8f21cafb3f49016977b5aad8,0xd133df54c0a5849b6a9e1928095148bf3f068fc8,0xd133df54c0a5849b6a9e1928095148bf3f068fc8,0x9d90669665607f08005cae4a7098143f554c59ef,47,356,336,0,52,0,11,7.25531914893617
0x4bcD8A4Af46bCDdE176E42319FC2F8808Ebf85E0,1648372953,1682835803,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x4bcd8a4af46bcdde176e42319fc2f8808ebf85e0,0x4bcd8a4af46bcdde176e42319fc2f8808ebf85e0,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,52,403,369,0,61,0,17,7.3076923076923075
0xCbD04C404F7Fa168f68A2CF5407d3C23A4C7a476,1662034337,1682837807,0x7531aa19407cc8d43c60f39e7cc4ad041c77e53b,0xcbd04c404f7fa168f68a2cf5407d3c23a4c7a476,0xcbd04c404f7fa168f68a2cf5407d3c23a4c7a476,0x23de9979551e2497c3431ce76bac2791d2a9b79b,32,245,245,0,41,0,8,7.25
0xaF084423B9333152448E6bb0a1e6BD8CD5bAC1BE,1662229911,1678885019,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xaf084423b9333152448e6bb0a1e6bd8cd5bac1be,0xaf084423b9333152448e6bb0a1e6bd8cd5bac1be,0x21b589e8ad9efcd3582eac5de321d06def182e0f,108,243,162,0,100,0,7,0.6759259259259259
0x245e9362Bb7e72a25e4ce7001298Fae4910163c8,1616860671,1666432859,0x564286362092d8e7936f0549571a803b203aaced,0x245e9362bb7e72a25e4ce7001298fae4910163c8,0x245e9362bb7e72a25e4ce7001298fae4910163c8,0x50002cdfe7ccb0c41f519c6eb0653158d11cd907,140,768,767,0,100,0,62,2.0357142857142856
0xd09e4C2AB4C42cA5afd1756ad5899634421ABF07,1497286361,1506627082,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xd09e4c2ab4c42ca5afd1756ad5899634421abf07,0xd09e4c2ab4c42ca5afd1756ad5899634421abf07,0x986ba782300d97d0fc0c97f4cd4d8c2e312335e7,930,2152,2149,0,100,0,100,0.5301075268817205
